cue_family,object_type,rows
cannot_or_unable,model,195
other,model,166
fails,metric,151
metric_limitation,metric,103
poor_performance,metric,101
limited_or_limitation,metric,93
poor_performance,model,84
limited_or_limitation,model,83
fails,model,78
cannot_or_unable,method,76
drawback_or_problem,metric,69
cannot_or_unable,dataset_or_database,69
cannot_or_unable,metric,66
other,dataset_or_database,63
other,method,63
drawback_or_problem,model,63
limited_or_limitation,dataset_or_database,62
other,metric,30
fails,dataset_or_database,30
poor_performance,method,27
fails,method,19
poor_performance,dataset_or_database,19
limited_or_limitation,method,17
other,benchmark_or_protocol,15
other,software_or_tool,14
drawback_or_problem,dataset_or_database,14
cannot_or_unable,software_or_tool,12
limited_or_limitation,software_or_tool,10
metric_limitation,dataset_or_database,9
cannot_or_unable,benchmark_or_protocol,9
drawback_or_problem,method,9
limited_or_limitation,benchmark_or_protocol,8
generalization_or_scalability,dataset_or_database,7
poor_performance,benchmark_or_protocol,6
drawback_or_problem,benchmark_or_protocol,5
fails,benchmark_or_protocol,5
fails,software_or_tool,4
poor_performance,software_or_tool,3
metric_limitation,model,3
metric_limitation,method,3
drawback_or_problem,software_or_tool,3
data_or_resource_requirement,model,3
generalization_or_scalability,model,2
generalization_or_scalability,metric,1
data_or_resource_requirement,method,1
data_or_resource_requirement,dataset_or_database,1
